Datensatz;Name_Parameter;Spalte_v1_06;Spalte_v1_11;Spalte_v1_12;Spalte_v1_15;Verwendung
farm_daily;num_small_scale_commercial_pig_szhs;small_scale_commercial_pig_szhs;small_scale_commercial_pig_szhs;num_small_scale_commercial_pig_szhs;num_small_scale_commercial_pig_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_backyard_szhs;backyard_szhs;backyard_szhs;num_backyard_szhs;num_backyard_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_daily;num_mixed_szhs;mixed_szhs;mixed_szhs;num_mixed_szhs;num_mixed_szhs;Epi farm type - Maximum number of farms in surveillance zones at any time 
farm_summary;chs;chs;ch_s;ch_s;ch_s;Diagnostics - control phase - number of contact herds
farm_summary;shs;shs;shs;shs;shs;Diagnostics - control phase - number of suspect herds
farm_summary;pzhs;pzhs;pzhs;pzhs;pzhs;"Epi general - Total number of farms in protection zones; diagnostics - POM surveillance"
farm_summary;szhs;szhs;szhs;szhs;szhs;"Epi general - Total number of farms in surveillance zones; diagnostics - POM surveillance"
farm_summary;ihs;ihs;ihs;ihs;ihs;Epi general - Number of infected farms (IHs)
farm_summary;total_animals_culled;total_animals_culled;total_animals_culled;total_animals_culled;total_animals_culled;Epi general - Number of culled animals
farm_summary;vhs;vhs;vhs;vhs;vhs;"Epi general - Number of vaccinated farms (VHs); diagnostics - POM surveillance"
farm_summary;total_vacc_animals;total_vacc_animals;total_vacc_animals;total_vacc_animals;total_vacc_animals;-
farm_summary;cattle_vacc;cattle_vacc;cattle_vacc;cattle_vacc;cattle_vacc;Epi general - Number of vaccinated cattle
farm_summary;sheep_vacc;sheep_vacc;sheep_vacc;sheep_vacc;sheep_vacc;Epi general - Number of vaccinated pigs
farm_summary;pigs_vacc;pigs_vacc;pigs_vacc;pigs_vacc;pigs_vacc;Epi general - Number of vaccinated sheep
farm_summary;large_commercial_dairy_ihs;large_commercial_dairy_ihs;large_commercial_dairy_ihs;large_commercial_dairy_ihs;large_commercial_dairy_ihs;"Epi farm type - Number of infected farms (IHs);"
farm_summary;large_commercial_beef_ihs;large_commercial_beef_ihs;large_commercial_beef_ihs;large_commercial_beef_ihs;large_commercial_beef_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;small_commercial_beef_ihs;small_commercial_beef_ihs;small_commercial_beef_ihs;small_commercial_beef_ihs;small_commercial_beef_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;commercial_buffalo_ihs;commercial_buffalo_ihs;commercial_buffalo_ihs;commercial_buffalo_ihs;commercial_buffalo_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;commercial_small_ruminants_ihs;commercial_small_ruminants_ihs;commercial_small_ruminants_ihs;commercial_small_ruminants_ihs;commercial_small_ruminants_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;large_scale_commercial_fattening_pigs_ihs;large_scale_commercial_fattening_pigs_ihs;large_scale_commercial_fattening_pigs_ihs;large_scale_commercial_fattening_pigs_ihs;large_scale_commercial_fattening_pigs_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;large_scale_commercial_breeding_pigs_ihs;large_scale_commercial_breeding_pigs_ihs;large_scale_commercial_breeding_pigs_ihs;large_scale_commercial_breeding_pigs_ihs;large_scale_commercial_breeding_pigs_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;small_scale_commercial_pig_ihs;small_scale_commercial_pig_ihs;small_scale_commercial_pig_ihs;small_scale_commercial_pig_ihs;small_scale_commercial_pig_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;backyard_ihs;backyard_ihs;backyard_ihs;backyard_ihs;backyard_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;mixed_ihs;mixed_ihs;mixed_ihs;mixed_ihs;mixed_ihs;Epi farm type - Number of infected farms (IHs)
farm_summary;large_commercial_dairy_vhs;large_commercial_dairy_vhs;large_commercial_dairy_vhs;large_commercial_dairy_vhs;large_commercial_dairy_vhs;"Epi farm type - Number of vaccinated farms (VHs); diagnostics - POM surveillance"
farm_summary;large_commercial_beef_vhs;large_commercial_beef_vhs;large_commercial_beef_vhs;large_commercial_beef_vhs;large_commercial_beef_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;small_commercial_beef_vhs;small_commercial_beef_vhs;small_commercial_beef_vhs;small_commercial_beef_vhs;small_commercial_beef_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;commercial_buffalo_vhs;commercial_buffalo_vhs;commercial_buffalo_vhs;commercial_buffalo_vhs;commercial_buffalo_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;commercial_small_ruminants_vhs;commercial_small_ruminants_vhs;commercial_small_ruminants_vhs;commercial_small_ruminants_vhs;commercial_small_ruminants_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;large_scale_commercial_fattening_pigs_vhs;large_scale_commercial_fattening_pigs_vhs;large_scale_commercial_fattening_pigs_vhs;large_scale_commercial_fattening_pigs_vhs;large_scale_commercial_fattening_pigs_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;large_scale_commercial_breeding_pigs_vhs;large_scale_commercial_breeding_pigs_vhs;large_scale_commercial_breeding_pigs_vhs;large_scale_commercial_breeding_pigs_vhs;large_scale_commercial_breeding_pigs_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;small_scale_commercial_pig_vhs;small_scale_commercial_pig_vhs;small_scale_commercial_pig_vhs;small_scale_commercial_pig_vhs;small_scale_commercial_pig_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;backyard_vhs;backyard_vhs;backyard_vhs;backyard_vhs;backyard_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;mixed_vhs;mixed_vhs;mixed_vhs;mixed_vhs;mixed_vhs;Epi farm type - Number of vaccinated farms (VHs)
farm_summary;large_commercial_dairy_farms_culled;large_commercial_dairy_farms_culled;large_commercial_dairy_farms_culled;large_commercial_dairy_farms_culled;large_commercial_dairy_farms_culled;Epi farm type - Number of culled farms
farm_summary;large_commercial_beef_farms_culled;large_commercial_beef_farms_culled;large_commercial_beef_farms_culled;large_commercial_beef_farms_culled;large_commercial_beef_farms_culled;Epi farm type - Number of culled farms
farm_summary;small_commercial_beef_farms_culled;small_commercial_beef_farms_culled;small_commercial_beef_farms_culled;small_commercial_beef_farms_culled;small_commercial_beef_farms_culled;Epi farm type - Number of culled farms
farm_summary;commercial_buffalo_farms_culled;commercial_buffalo_farms_culled;commercial_buffalo_farms_culled;commercial_buffalo_farms_culled;commercial_buffalo_farms_culled;Epi farm type - Number of culled farms
farm_summary;commercial_small_ruminants_farms_culled;commercial_small_ruminants_farms_culled;commercial_small_ruminants_farms_culled;commercial_small_ruminants_farms_culled;commercial_small_ruminants_farms_culled;Epi farm type - Number of culled farms
farm_summary;large_scale_commercial_fattening_pigs_farms_culled;large_scale_commercial_fattening_pigs_farms_culled;large_scale_commercial_fattening_pigs_farms_culled;large_scale_commercial_fattening_pigs_farms_culled;large_scale_commercial_fattening_pigs_farms_culled;Epi farm type - Number of culled farms
farm_summary;large_scale_commercial_breeding_pigs_farms_culled;large_scale_commercial_breeding_pigs_farms_culled;large_scale_commercial_breeding_pigs_farms_culled;large_scale_commercial_breeding_pigs_farms_culled;large_scale_commercial_breeding_pigs_farms_culled;Epi farm type - Number of culled farms
farm_summary;small_scale_commercial_pig_farms_culled;small_scale_commercial_pig_farms_culled;small_scale_commercial_pig_farms_culled;small_scale_commercial_pig_farms_culled;small_scale_commercial_pig_farms_culled;Epi farm type - Number of culled farms
farm_summary;backyard_farms_culled;backyard_farms_culled;backyard_farms_culled;backyard_farms_culled;backyard_farms_culled;Epi farm type - Number of culled farms
farm_summary;mixed_farms_culled;mixed_farms_culled;mixed_farms_culled;mixed_farms_culled;mixed_farms_culled;Epi farm type - Number of culled farms
farm_summary;large_commercial_dairy_animals_culled;large_commercial_dairy_animals_culled;large_commercial_dairy_animals_culled;large_commercial_dairy_animals_culled;large_commercial_dairy_animals_culled;Epi farm type - Number of culled animals
farm_summary;large_commercial_beef_animals_culled;large_commercial_beef_animals_culled;large_commercial_beef_animals_culled;large_commercial_beef_animals_culled;large_commercial_beef_animals_culled;Epi farm type - Number of culled animals
farm_summary;small_commercial_beef_animals_culled;small_commercial_beef_animals_culled;small_commercial_beef_animals_culled;small_commercial_beef_animals_culled;small_commercial_beef_animals_culled;Epi farm type - Number of culled animals
farm_summary;commercial_buffalo_animals_culled;commercial_buffalo_animals_culled;commercial_buffalo_animals_culled;commercial_buffalo_animals_culled;commercial_buffalo_animals_culled;Epi farm type - Number of culled animals
farm_summary;commercial_small_ruminants_animals_culled;commercial_small_ruminants_animals_culled;commercial_small_ruminants_animals_culled;commercial_small_ruminants_animals_culled;commercial_small_ruminants_animals_culled;Epi farm type - Number of culled animals
farm_summary;large_scale_commercial_fattening_pigs_animals_culled;large_scale_commercial_fattening_pigs_animals_culled;large_scale_commercial_fattening_pigs_animals_culled;large_scale_commercial_fattening_pigs_animals_culled;large_scale_commercial_fattening_pigs_animals_culled;Epi farm type - Number of culled animals
farm_summary;large_scale_commercial_breeding_pigs_animals_culled;large_scale_commercial_breeding_pigs_animals_culled;large_scale_commercial_breeding_pigs_animals_culled;large_scale_commercial_breeding_pigs_animals_culled;large_scale_commercial_breeding_pigs_animals_culled;Epi farm type - Number of culled animals
farm_summary;small_scale_commercial_pig_animals_culled;small_scale_commercial_pig_animals_culled;small_scale_commercial_pig_animals_culled;small_scale_commercial_pig_animals_culled;small_scale_commercial_pig_animals_culled;Epi farm type - Number of culled animals
farm_summary;backyard_animals_culled;backyard_animals_culled;backyard_animals_culled;backyard_animals_culled;backyard_animals_culled;Epi farm type - Number of culled animals
farm_summary;mixed_animals_culled;mixed_animals_culled;mixed_animals_culled;mixed_animals_culled;mixed_animals_culled;Epi farm type - Number of culled animals
cost_summary;at_surveillance;at_surveillance;at_surveillance;at_surveillance;at_surveillance;Econ - Surveillance costs
cost_summary;at_culling;at_culling;at_culling;at_culling;at_culling;Econ - Culling costs
cost_summary;at_disposal;at_disposal;at_disposal;at_disposal;at_disposal;Econ - Disposal costs
cost_summary;at_disinfection;at_disinfection;at_disinfection;at_disinfection;at_disinfection;Econ - Disinfection costs
cost_summary;at_vaccination;at_vaccination;at_vaccination;at_vaccination;at_vaccination;Econ - Vaccination costs
cost_summary;at_compensation;at_compensation;at_compensation;at_compensation;at_compensation;Econ - Compensation costs
cost_summary;at_post_mgmt_total_cost;at_post_mgmt_total_cost;at_post_mgmt_total_cost;at_post_mgmt_total_cost;at_post_mgmt_total_cost;Econ - Post management costs
cost_summary;at_control_centre_cost;at_control_centre_cost;at_control_centre_cost;at_control_centre_cost;at_control_centre_cost;Econ - Control center costs
